  年/月/日      気温［℃］
2015/Aug/19 30.064
2015/Aug/06 31.035
2015/Aug/05 31.464
2015/Aug/21 31.533
2015/Aug/02 32.149
2015/Aug/17 32.15
2015/Aug/13 32.269
2015/Aug/14 32.737
2015/Aug/28 32.789
2015/Aug/30 32.875
2015/Aug/23 33.181
2015/Aug/18 33.479
2015/Aug/20 34.938
2015/Aug/08 35.472
2015/Aug/22 35.636
2015/Aug/27 35.661
2015/Aug/07 35.745
2015/Aug/24 35.915
2015/Aug/11 36.069
2015/Aug/25 36.173
2015/Aug/01 36.268
2015/Aug/29 36.441
2015/Aug/31 36.706
2015/Aug/04 37.106
2015/Aug/12 38.174
2015/Aug/26 38.786
2015/Aug/15 39.18
2015/Aug/16 39.345
2015/Aug/10 39.44
2015/Aug/03 39.446
2015/Aug/09 39.475
